site,thedate,type,taskcode,Calcium,Magnesium,Potassium,Sodium,CHLORIDE (AS Cl),"Chloride, Calculated",Hardness (As CaCO3),Salinity (from sodium),Specific Conductivity,Total Dissolved Solids
S01,2019-03-24T16:43:00Z,N,Spring Melt,NA,NA,NA,NA,NA,497.9024,NA,NA,1788,NA
S01,2019-03-24T16:45:00Z,N,Spring Melt,NA,NA,NA,NA,580,NA,NA,NA,NA,NA
S01,2013-03-28T12:06:00Z,N,Spring Melt,NA,NA,NA,NA,450,464.414,98,0.8,1670,1.07
S01,2013-03-28T12:09:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,97,NA,NA,NA
S01,2013-03-28T12:09:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2014-03-28T12:43:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,180,NA,NA,NA
S01,2014-03-28T12:43:00Z,N,Spring Melt,NA,NA,NA,NA,890,958.226,190,NA,3410,NA
S01,2018-03-28T16:51:00Z,N,Spring Melt,NA,NA,NA,NA,NA,801.8522,NA,NA,2859,NA
S01,2018-03-28T16:54:00Z,N,Spring Melt,NA,NA,NA,NA,NA,800.717,NA,NA,2855,NA
S01,2018-03-28T16:57:00Z,N,Spring Melt,NA,NA,NA,NA,NA,797.3114,NA,NA,2843,NA
S01,2018-03-28T16:58:00Z,N,Spring Melt,NA,NA,NA,NA,940,NA,NA,NA,NA,NA
S01,2019-03-29T08:07:00Z,N,Spring Melt,NA,NA,NA,NA,NA,568.2848,NA,NA,2036,NA
S01,2019-03-29T08:09:00Z,N,Spring Melt,NA,NA,NA,NA,620,NA,NA,NA,NA,NA
S01,2013-03-06T12:10:00Z,N,Spring Melt,NA,NA,NA,NA,550,594.962,100,1,2130,1.36
S01,2013-03-06T12:20:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,100,NA,NA,NA
S01,2013-03-06T12:20:00Z,N,Spring Melt,NA,NA,NA,NA,560,NA,NA,NA,NA,NA
S01,2018-03-06T13:36:00Z,N,Spring Melt,NA,NA,NA,NA,NA,810.3662,NA,NA,2889,NA
S01,2018-03-06T13:39:00Z,N,Spring Melt,NA,NA,NA,NA,NA,809.5148,NA,NA,2886,NA
S01,2018-03-06T13:40:00Z,N,Spring Melt,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA
S01,2018-03-06T13:41:00Z,N,Spring Melt,NA,NA,NA,NA,NA,809.231,NA,NA,2885,NA
S01,2017-03-09T12:00:00Z,N,Spring Melt,NA,NA,NA,NA,190,179.4788,NA,NA,666,NA
S01,2017-03-09T12:05:00Z,N,Spring Melt,NA,NA,NA,NA,NA,191.3984,NA,NA,708,NA
S01,2013-04-02T09:55:00Z,N,Spring Melt,NA,NA,NA,NA,390,419.006,88,0.7,1510,0.968
S01,2014-04-08T13:25:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,56,NA,NA,NA
S01,2014-04-08T13:25:00Z,N,Spring Melt,NA,NA,NA,NA,280,244.469,48,NA,895,NA
S01,2010-10-01T16:00:00Z,N,Stormwater,NA,NA,NA,NA,51,NA,NA,NA,NA,NA
S01,2010-10-01T16:05:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2010-10-01T16:05:00Z,N,Stormwater,NA,NA,NA,NA,52,NA,NA,NA,NA,NA
S01,2012-10-11T14:36:00Z,N,Stormwater,NA,NA,NA,NA,340,356.57,NA,0.6,1290,0.831
S01,2010-10-15T08:50:00Z,N,Stormwater,NA,NA,NA,NA,21,NA,NA,NA,NA,NA
S01,2010-10-15T08:55:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2010-10-15T08:55:00Z,N,Stormwater,NA,NA,NA,NA,21,NA,NA,NA,NA,NA
S01,2014-10-17T08:35:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,41.9,NA,NA,NA
S01,2014-10-17T08:35:00Z,N,Stormwater,8.88,3.28,NA,NA,91,127.8272,35.7,NA,484,NA
S01,2011-10-25T11:00:00Z,N,Stormwater,NA,NA,NA,NA,180,263.4836,74,NA,962,0.618
S01,2010-10-06T14:00:00Z,N,Stormwater,NA,NA,NA,NA,75,NA,NA,NA,NA,NA
S01,2014-10-06T09:35:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,99.4,NA,NA,NA
S01,2014-10-06T09:35:00Z,N,Stormwater,29.8,7,NA,NA,390,333.866,103,NA,1210,NA
S01,2011-11-30T09:10:00Z,N,Stormwater,NA,NA,NA,NA,200,NA,54,NA,NA,NA
S01,2011-04-11T12:25:00Z,N,Stormwater,NA,NA,NA,NA,160,167.2754,NA,NA,623,40
S01,2011-04-11T12:26:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
S01,2011-04-11T12:26:00Z,N,Stormwater,NA,NA,NA,NA,160,167.2754,NA,NA,623,NA
S01,2011-04-05T08:30:00Z,N,Stormwater,NA,NA,NA,NA,450,458.738,NA,NA,1650,NA
S01,2011-04-05T08:32:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2011-04-05T08:32:00Z,N,Stormwater,NA,NA,NA,NA,450,458.738,NA,NA,1650,NA
S01,2011-05-16T00:00:00Z,N,Stormwater,NA,NA,NA,NA,510,472.928,130,NA,1700,1.09
S01,2011-05-16T09:30:00Z,N,Stormwater,NA,NA,NA,NA,NA,205.3046,NA,NA,757,0.485
S01,2018-05-19T18:00:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,180,NA,NA,NA
S01,2018-05-21T11:34:00Z,N,Stormwater,NA,NA,NA,NA,NA,741.119,NA,NA,2645,NA
S01,2018-05-21T11:35:00Z,N,Stormwater,NA,NA,NA,NA,800,NA,NA,NA,NA,NA
S01,2018-05-21T11:36:00Z,N,Stormwater,NA,NA,NA,NA,NA,741.6866,NA,NA,2647,NA
S01,2018-05-21T11:38:00Z,N,Stormwater,NA,NA,NA,NA,NA,740.8352,NA,NA,2644,NA
S01,2017-05-05T17:00:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,68,NA,NA,NA
S01,2017-05-07T11:37:00Z,N,Stormwater,NA,NA,NA,NA,NA,442.8452,NA,NA,1594,NA
S01,2017-05-07T11:40:00Z,N,Stormwater,NA,NA,NA,NA,450,NA,NA,NA,NA,NA
S01,2017-05-07T11:42:00Z,N,Stormwater,NA,NA,NA,NA,NA,443.129,NA,NA,1595,NA
S01,2015-06-01T12:40:00Z,FD,Stormwater,39.4,8000,NA,NA,NA,NA,131,NA,NA,NA
S01,2015-06-01T12:40:00Z,N,Stormwater,41.9,8240,NA,NA,580,189.9794,139,NA,703,NA
S01,2014-06-13T11:40:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,181,NA,NA,NA
S01,2014-06-13T11:40:00Z,N,Stormwater,47.4,12.4,NA,NA,720,175.2218,169,NA,651,NA
S01,2011-06-27T10:30:00Z,N,Stormwater,NA,NA,NA,NA,NA,356.57,NA,NA,1290,0.827
S01,2016-06-05T20:30:00Z,N,Stormwater,NA,NA,NA,NA,830,NA,190,NA,NA,NA
S01,2016-06-07T14:45:00Z,N,Stormwater,NA,NA,NA,NA,NA,390.626,NA,NA,1410,NA
S01,2016-06-07T14:50:00Z,N,Stormwater,NA,NA,NA,NA,NA,390.626,NA,NA,1410,NA
S01,2016-07-14T22:30:00Z,N,Stormwater,NA,NA,NA,NA,500,NA,147,NA,NA,NA
S01,2016-07-15T14:05:00Z,N,Stormwater,NA,NA,NA,NA,NA,404.816,NA,NA,1460,NA
S01,2016-07-15T14:08:00Z,N,Stormwater,NA,NA,NA,NA,NA,404.816,NA,NA,1460,NA
S01,2018-07-17T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,84,NA,NA,NA
S01,2017-07-18T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,72,NA,NA,NA
S01,2018-07-18T10:40:00Z,N,Stormwater,NA,NA,NA,NA,370,NA,NA,NA,NA,NA
S01,2018-07-18T10:51:00Z,N,Stormwater,NA,NA,NA,NA,NA,326.771,NA,NA,1185,NA
S01,2018-07-18T10:52:00Z,N,Stormwater,NA,NA,NA,NA,NA,326.771,NA,NA,1185,NA
S01,2018-07-18T10:53:00Z,N,Stormwater,NA,NA,NA,NA,NA,326.771,NA,NA,1185,NA
S01,2017-07-19T11:33:00Z,N,Stormwater,NA,NA,NA,NA,460,462.995,NA,NA,1665,NA
S01,2017-07-19T11:36:00Z,N,Stormwater,NA,NA,NA,NA,NA,462.995,NA,NA,1665,NA
S01,2012-07-26T13:20:00Z,N,Stormwater,NA,NA,NA,NA,390,455.9,NA,NA,1640,1.04
S01,2011-08-10T16:40:00Z,N,Stormwater,NA,NA,NA,NA,300,261.2132,NA,NA,954,0.611
S01,2015-08-12T09:10:00Z,FD,Stormwater,39.6,8500,NA,NA,NA,NA,134,NA,NA,NA
S01,2015-08-12T09:10:00Z,N,Stormwater,NA,NA,NA,NA,530,NA,NA,NA,NA,NA
S01,2015-08-12T09:30:00Z,N,Stormwater,39.1,8150,NA,NA,540,549.554,131,NA,1970,NA
S01,2013-08-02T10:50:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2013-08-02T10:50:00Z,N,Stormwater,23.9,6.26,NA,NA,250,NA,85.4,NA,NA,NA
S01,2013-08-02T10:55:00Z,FD,Stormwater,28,6.78,NA,NA,NA,NA,97.9,NA,NA,NA
S01,2013-08-02T10:55:00Z,N,Stormwater,NA,NA,NA,NA,260,NA,NA,NA,NA,NA
S01,2011-08-07T10:05:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2015-09-11T09:15:00Z,FD,Stormwater,45.2,9390,NA,NA,NA,NA,152,NA,NA,NA
S01,2015-09-11T09:15:00Z,N,Stormwater,NA,NA,NA,NA,540,NA,NA,NA,NA,NA
S01,2016-09-11T11:51:00Z,N,Stormwater,NA,NA,NA,NA,540,NA,171,NA,NA,NA
S01,2011-09-12T11:30:00Z,N,Stormwater,NA,NA,NA,NA,310,NA,NA,NA,NA,NA
S01,2011-09-12T11:35:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2011-09-12T11:35:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2016-09-12T10:35:00Z,N,Stormwater,NA,NA,NA,NA,NA,430.358,NA,NA,1550,NA
S01,2016-09-12T10:40:00Z,N,Stormwater,NA,NA,NA,NA,NA,430.358,NA,NA,1550,NA
S01,2016-09-12T10:45:00Z,N,Stormwater,NA,NA,NA,NA,NA,430.358,NA,NA,1550,NA
S01,2013-09-13T11:40:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2013-09-13T11:40:00Z,N,Stormwater,20.3,4.43,NA,NA,190,NA,68.8,NA,NA,NA
S01,2013-09-13T11:45:00Z,FD,Stormwater,20.1,4.84,NA,NA,NA,NA,70.2,NA,NA,NA
S01,2013-09-13T11:45:00Z,N,Stormwater,NA,NA,NA,NA,200,NA,NA,NA,NA,NA
S01,2018-09-18T09:51:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,140,NA,NA,NA
S01,2018-09-19T09:15:00Z,N,Stormwater,NA,NA,NA,NA,NA,345.218,NA,NA,1250,NA
S01,2018-09-19T09:16:00Z,N,Stormwater,NA,NA,NA,NA,NA,345.218,NA,NA,1250,NA
S01,2018-09-19T09:17:00Z,N,Stormwater,NA,NA,NA,NA,NA,345.218,NA,NA,1250,NA
S01,2018-09-19T09:22:00Z,N,Stormwater,NA,NA,NA,NA,330,NA,NA,NA,NA,NA
S01,2010-09-28T08:45:00Z,N,Stormwater,NA,NA,NA,NA,220,NA,NA,NA,NA,NA
S01,2012-09-07T10:01:00Z,N,Stormwater,NA,NA,NA,NA,290,336.704,110,NA,1220,0.779
S01,2012-09-07T10:05:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,110,NA,NA,NA
S01,2012-09-07T10:05:00Z,N,Stormwater,NA,NA,NA,NA,280,NA,NA,NA,NA,NA
S01,2017-09-07T13:25:00Z,N,Stormwater,NA,NA,NA,NA,NA,165.005,NA,NA,615,NA
S01,2017-09-07T13:28:00Z,N,Stormwater,NA,NA,NA,NA,NA,164.7212,NA,NA,614,NA
