site,thedate,type,taskcode,Oxidation-Reduction Potential,pH,Turbidity,Dissolved Oxygen,Dissolved Oxygen Saturation
S01,2014-06-13T11:40:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2014-06-13T11:40:00Z,N,Stormwater,141,6.64,89.9,7.3,NA
S01,2011-06-27T10:30:00Z,N,Stormwater,212,7.04,13.4,6.5,NA
S01,2016-06-05T20:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-06-07T14:45:00Z,N,Stormwater,74,7.41,6.9,7.7,0.838
S01,2016-06-07T14:50:00Z,N,Stormwater,69,7.42,6.88,7.44,0.81
S01,2016-07-14T22:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-07-15T14:05:00Z,N,Stormwater,103,7.59,15.7,5.98,0.721
S01,2016-07-15T14:08:00Z,N,Stormwater,105,7.58,9,5.9,0.715
S01,2018-07-17T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-07-18T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-07-18T10:40:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-07-18T10:51:00Z,N,Stormwater,NA,NA,NA,7.06,78
S01,2018-07-18T10:52:00Z,N,Stormwater,NA,NA,NA,7,78.4
S01,2018-07-18T10:53:00Z,N,Stormwater,NA,NA,NA,7.07,77.5
S01,2017-07-19T11:33:00Z,N,Stormwater,NA,NA,NA,6.53,74.8
S01,2017-07-19T11:36:00Z,N,Stormwater,NA,NA,NA,6.51,74.2
S01,2012-07-26T13:20:00Z,N,Stormwater,149,NA,17.4,4.84,NA
S01,2011-08-10T16:40:00Z,N,Stormwater,252,7.46,6.6,7.15,NA
S01,2015-08-12T09:10:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2015-08-12T09:10:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2015-08-12T09:30:00Z,N,Stormwater,211,6.92,1000,NA,NA
S01,2013-08-02T10:50:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2013-08-02T10:50:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2013-08-02T10:55:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2013-08-02T10:55:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2011-08-07T10:05:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2015-09-11T09:15:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2015-09-11T09:15:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-09-11T11:51:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2011-09-12T11:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
