site,thedate,type,taskcode,Oxidation-Reduction Potential,pH,Turbidity,Dissolved Oxygen,Dissolved Oxygen Saturation
S01,2018-07-18T13:29:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-07-18T13:30:00Z,N,Stormwater,NA,NA,NA,6.37,71.9
S01,2017-07-19T13:23:00Z,N,Stormwater,NA,NA,NA,4.66,54.5
S01,2017-07-19T13:25:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-07-19T13:29:00Z,N,Stormwater,NA,NA,NA,4.41,51.7
S01,2017-07-19T13:36:00Z,N,Stormwater,NA,NA,NA,4.72,55.2
S01,2014-07-22T12:25:00Z,N,Baseflow,1,1,1,6.99,NA
S01,2016-07-05T15:52:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2016-07-05T15:55:00Z,N,Baseflow,1,1,1,3.75,0.434
S01,2016-07-05T16:02:00Z,N,Baseflow,1,1,1,3.74,0.436
S01,2018-07-09T13:10:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2018-07-09T13:10:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-07-09T13:11:00Z,N,Baseflow,NA,NA,NA,4.35,48.9
S01,2018-07-09T13:12:00Z,N,Baseflow,NA,NA,NA,4.06,45.2
S01,2018-07-09T13:13:00Z,N,Baseflow,NA,NA,NA,3.86,43.3
S01,2013-08-01T15:40:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2011-08-10T16:50:00Z,N,Stormwater,1,1,1,6.97,NA
S01,2015-08-12T12:45:00Z,N,Stormwater,1,1,1,NA,NA
S01,2010-08-19T15:10:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2013-08-02T10:50:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2011-08-25T10:20:00Z,N,Baseflow,1,1,1,7.57,NA
S01,2010-09-01T11:45:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2015-09-11T10:45:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2011-09-13T14:50:00Z,N,Baseflow,1,1,1,7.12,NA
S01,2011-09-13T15:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2013-09-13T13:40:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2012-09-14T10:30:00Z,N,Baseflow,1,NA,1,5.8,NA
S01,2018-09-17T13:02:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-09-17T12:57:00Z,N,Baseflow,NA,NA,NA,6.6,71.9
S01,2018-09-17T12:58:00Z,N,Baseflow,NA,NA,NA,6.54,70.9
S01,2018-09-17T12:59:00Z,N,Baseflow,NA,NA,NA,6.85,75
S01,2015-09-18T11:45:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-09-18T09:51:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-09-19T12:33:00Z,N,Stormwater,NA,NA,NA,8.07,84.8
S01,2018-09-19T12:34:00Z,N,Stormwater,NA,NA,NA,7.93,83.8
S01,2018-09-19T12:35:00Z,N,Stormwater,NA,NA,NA,7.92,83.3
S01,2018-09-19T12:38:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-09-02T13:35:00Z,N,Baseflow,1,1,1,4.24,0.48
S01,2016-09-02T13:43:00Z,N,Baseflow,1,1,1,4.24,0.48
S01,2016-09-02T13:50:00Z,N,Baseflow,NA,1,1,4.3,0.485
S01,2017-09-24T09:33:00Z,N,Baseflow,NA,NA,NA,6.12,63.7
S01,2017-09-24T09:35:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2017-09-24T09:36:00Z,N,Baseflow,NA,NA,NA,6.08,62.9
S01,2017-09-24T09:38:00Z,N,Baseflow,NA,NA,NA,6.15,63.7
S01,2013-09-26T11:47:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2014-09-26T14:50:00Z,N,Baseflow,1,1,0,7.97,NA
S01,2010-09-28T11:05:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2012-09-07T17:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-09-07T04:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-09-07T16:48:00Z,N,Stormwater,NA,NA,NA,8.56,89.5
S01,2017-09-07T16:51:00Z,N,Stormwater,NA,NA,NA,8.46,88.7
S01,2017-09-07T16:54:00Z,N,Stormwater,NA,NA,NA,8.48,88.8
S01,2017-09-07T17:10:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2015-10-01T10:40:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2014-10-17T09:50:00Z,N,Stormwater,1,1,1,4.71,NA
S01,2014-10-06T10:20:00Z,N,Stormwater,1,1,0,7.59,NA
S01,2017-02-19T13:30:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-02-19T13:40:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2017-02-19T13:45:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2018-02-21T16:50:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-21T16:52:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-21T16:54:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-21T16:55:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T10:22:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T10:25:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T10:28:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T10:30:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-01T15:15:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2017-03-01T15:20:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2013-03-13T13:30:00Z,N,Spring Melt,NA,NA,NA,13.05,NA
S01,2019-03-13T17:15:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-13T17:16:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-15T15:52:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-15T15:53:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-17T16:45:00Z,N,Spring Melt,1,1,1,11.85,81
S01,2017-03-17T16:50:00Z,N,Spring Melt,1,1,1,11.69,80
S01,2017-03-17T16:55:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2014-03-20T14:42:00Z,N,Spring Melt,1,1,1,7.98,NA
S01,2019-03-24T17:55:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-24T17:57:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2013-03-28T14:50:00Z,N,Spring Melt,1,1,1,8.5,NA
S01,2014-03-28T14:10:00Z,N,Spring Melt,1,1,1,8.38,NA
S01,2018-03-28T18:10:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T18:13:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T18:15:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T18:18:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-29T10:04:00Z,N,Spring Melt,NA,NA,NA,12.88,90.6
S01,2019-03-29T10:10:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2013-03-06T13:40:00Z,N,Spring Melt,1,NA,1,11.44,NA
S01,2018-03-06T15:12:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T15:14:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T15:15:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T15:16:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-09T14:50:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2017-03-09T14:55:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2013-04-02T10:55:00Z,N,Spring Melt,1,1,1,7.93,NA
S01,2014-04-08T14:16:00Z,N,Spring Melt,1,1,1,9.83,NA
S01,2017-05-01T16:50:00Z,N,Baseflow,1,1,NA,10.59,92.7
S01,2017-05-01T16:55:00Z,N,Baseflow,1,1,NA,10.03,88.6
S01,2017-05-01T17:00:00Z,N,Baseflow,1,1,NA,10.01,88.4
S01,2018-05-10T15:09:00Z,N,Baseflow,NA,NA,NA,8.14,87.5
S01,2018-05-10T15:14:00Z,N,Baseflow,NA,NA,NA,7.74,82.9
S01,2018-05-10T15:18:00Z,N,Baseflow,NA,NA,NA,7.9,84.5
S01,2018-05-10T15:20:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2016-05-12T15:30:00Z,N,Baseflow,1,1,1,7.63,NA
S01,2016-05-12T15:40:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2014-05-14T10:20:00Z,N,Baseflow,1,1,1,5.77,NA
S01,2018-05-19T18:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-05-21T13:33:00Z,N,Stormwater,NA,NA,NA,8.87,95.9
S01,2018-05-21T13:35:00Z,N,Stormwater,NA,NA,NA,8.85,95.8
S01,2018-05-21T13:37:00Z,N,Stormwater,NA,NA,NA,8.84,95.7
S01,2013-05-29T08:15:00Z,N,Baseflow,1,1,1,4.93,NA
S01,2017-05-05T17:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2015-05-06T11:45:00Z,N,Baseflow,1,1,0,7.38,NA
S01,2017-05-07T13:28:00Z,N,Stormwater,1,1,NA,9.65,95.1
S01,2017-05-07T13:31:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-05-07T13:34:00Z,N,Stormwater,1,1,NA,9.64,95.2
S01,2015-06-01T13:45:00Z,N,Stormwater,1,1,1,8.18,NA
S01,2019-06-10T12:05:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2014-06-13T12:38:00Z,N,Stormwater,1,1,1,5.77,NA
S01,2013-06-20T09:40:00Z,N,Baseflow,1,1,1,6.26,NA
S01,2016-06-05T20:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-06-07T10:45:00Z,N,Stormwater,1,1,1,5.5,0.599
S01,2016-06-07T10:55:00Z,N,Stormwater,1,1,1,5.39,0.582
S01,2015-07-14T11:45:00Z,N,Baseflow,1,1,1,4.2,NA
S01,2016-07-14T22:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-07-15T15:36:00Z,N,Stormwater,1,1,1,5.1,0.63
S01,2016-07-15T15:41:00Z,N,Stormwater,1,1,1,5,0.616
S01,2017-07-17T16:05:00Z,N,Baseflow,NA,NA,NA,5.55,63.8
S01,2017-07-17T16:10:00Z,N,Baseflow,NA,NA,NA,5.37,62.5
S01,2017-07-17T16:15:00Z,N,Baseflow,NA,NA,NA,5.52,64.7
S01,2018-07-17T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-07-18T13:57:00Z,N,Stormwater,NA,NA,NA,5.92,68.7
S01,2018-07-18T13:58:00Z,N,Stormwater,NA,NA,NA,5.89,68.8
S01,2018-07-18T14:00:00Z,N,Stormwater,NA,NA,NA,5.88,68.6
S01,2017-07-19T14:01:00Z,N,Stormwater,NA,NA,NA,5.37,64.6
S01,2017-07-19T14:04:00Z,N,Stormwater,NA,NA,NA,5.37,64.6
S01,2017-07-19T14:07:00Z,N,Stormwater,NA,NA,NA,5.39,65
S01,2014-07-22T11:35:00Z,N,Baseflow,1,1,1,4.73,NA
S01,2016-07-06T11:45:00Z,N,Baseflow,1,1,1,4.47,0.524
S01,2016-07-06T11:55:00Z,N,Baseflow,1,1,1,4.46,0.525
S01,2018-07-09T14:00:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-07-09T14:04:00Z,N,Baseflow,NA,NA,NA,5.03,57.3
S01,2018-07-09T14:06:00Z,N,Baseflow,NA,NA,NA,4.97,56.6
S01,2018-07-09T14:07:00Z,N,Baseflow,NA,NA,NA,5.1,58.2
S01,2013-08-01T14:00:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2015-08-12T11:25:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2015-08-12T11:25:00Z,N,Stormwater,1,1,1,NA,NA
S01,2013-08-02T10:50:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2013-09-13T12:20:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-09-17T13:32:00Z,N,Baseflow,NA,NA,NA,7.05,77.7
S01,2018-09-17T13:33:00Z,N,Baseflow,NA,NA,NA,6.94,75.5
S01,2018-09-17T13:34:00Z,N,Baseflow,NA,NA,NA,6.8,74.3
S01,2018-09-17T13:37:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2015-09-18T10:40:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-09-18T09:51:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-09-19T13:22:00Z,N,Stormwater,NA,NA,NA,7.21,77.2
S01,2018-09-19T13:23:00Z,N,Stormwater,NA,NA,NA,7.17,76.2
S01,2018-09-19T13:24:00Z,N,Stormwater,NA,NA,NA,7.1,75.8
S01,2016-09-02T10:04:00Z,N,Baseflow,1,1,1,3.62,0.404
S01,2016-09-02T10:05:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2016-09-02T10:10:00Z,N,Baseflow,1,1,NA,3.58,0.403
S01,2016-09-02T09:48:00Z,N,Baseflow,1,1,1,3.44,0.39
S01,2017-09-24T10:03:00Z,N,Baseflow,NA,NA,NA,5.33,55
S01,2017-09-24T10:05:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2017-09-24T10:06:00Z,N,Baseflow,NA,NA,NA,5.32,55
S01,2013-09-26T10:05:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2014-09-26T13:55:00Z,N,Baseflow,1,1,0,7.21,NA
S01,2017-09-07T04:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-09-07T17:38:00Z,N,Stormwater,NA,NA,NA,7.25,76.3
S01,2017-09-07T17:41:00Z,N,Stormwater,NA,NA,NA,7.19,75.7
S01,2017-09-07T17:44:00Z,N,Stormwater,NA,NA,NA,7.13,75.5
S01,2017-09-07T17:53:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2010-10-01T16:01:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2015-10-01T11:40:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2012-10-11T16:13:00Z,N,Stormwater,1,1,1,4.01,NA
S01,2010-10-15T09:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2014-10-17T10:45:00Z,N,Stormwater,1,1,1,6.54,NA
S01,2010-10-21T13:10:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2011-10-25T14:00:00Z,N,Stormwater,1,1,1,6.7,NA
S01,2012-10-25T16:31:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2010-10-06T14:16:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2014-10-06T10:48:00Z,N,Stormwater,1,1,0,8.49,NA
S01,2010-11-15T13:20:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2012-11-29T07:10:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2011-11-30T11:05:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2011-11-09T16:00:00Z,N,Baseflow,1,NA,1,10.34,NA
S01,2012-02-17T10:35:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-02-19T14:25:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-02-19T14:35:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2017-02-19T14:40:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2018-02-21T17:05:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-21T17:07:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-21T17:09:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-21T17:10:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T10:44:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T10:47:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T10:50:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T10:51:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-01T16:15:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2017-03-01T16:20:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-01T16:25:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2013-03-13T14:00:00Z,N,Spring Melt,NA,NA,NA,13.06,NA
S01,2019-03-13T17:31:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-13T17:32:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2012-03-14T11:50:00Z,N,Spring Melt,1,NA,1,7.21,NA
S01,2014-03-14T14:48:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-15T16:07:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-15T16:09:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2012-03-16T15:30:00Z,N,Spring Melt,1,NA,1,8.25,NA
S01,2017-03-17T17:20:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-17T17:25:00Z,N,Spring Melt,1,1,1,13.48,92.5
S01,2017-03-17T17:30:00Z,N,Spring Melt,1,1,1,13.46,92.4
S01,2014-03-20T15:11:00Z,N,Spring Melt,1,1,1,7.62,NA
S01,2012-03-22T11:20:00Z,N,Spring Melt,1,NA,1,7.51,NA
S01,2011-03-24T12:30:00Z,N,Baseflow,1,1,1,13.72,NA
S01,2019-03-24T18:11:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-24T18:13:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-24T18:14:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2013-03-28T14:15:00Z,N,Spring Melt,1,1,1,9.37,NA
S01,2014-03-28T15:00:00Z,N,Spring Melt,1,1,1,8.84,NA
S01,2018-03-28T18:30:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T18:33:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T18:36:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T18:37:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-29T10:29:00Z,N,Spring Melt,NA,NA,NA,12.63,90.2
S01,2019-03-29T10:45:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2011-03-31T10:50:00Z,N,Baseflow,1,1,1,14.2,NA
S01,2013-03-06T14:20:00Z,N,Spring Melt,1,NA,1,11.19,NA
S01,2018-03-06T15:31:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T15:33:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T15:35:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T15:45:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-09T15:25:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2017-03-09T15:30:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2011-04-11T10:35:00Z,N,Stormwater,1,1,1,9.36,NA
S01,2012-04-19T13:16:00Z,N,Baseflow,1,NA,0,8.29,NA
S01,2013-04-02T11:55:00Z,N,Spring Melt,1,1,1,8.62,NA
S01,2011-04-05T11:15:00Z,N,Stormwater,1,1,1,12.23,NA
S01,2014-04-08T14:47:00Z,N,Spring Melt,1,1,1,8.78,NA
S01,2017-05-01T17:17:00Z,N,Baseflow,1,1,NA,11.6,102
S01,2017-05-01T17:20:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2017-05-01T17:21:00Z,N,Baseflow,1,1,NA,11,96.7
S01,2017-05-01T17:25:00Z,N,Baseflow,1,1,NA,10.98,96.5
S01,2018-05-10T15:47:00Z,N,Baseflow,NA,NA,NA,9.7,97.9
S01,2018-05-10T15:49:00Z,N,Baseflow,NA,NA,NA,9.62,97
S01,2018-05-10T15:50:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-05-10T15:53:00Z,N,Baseflow,NA,NA,NA,9.65,97.1
S01,2016-05-12T16:55:00Z,N,Baseflow,1,1,1,12.16,NA
S01,2016-05-12T17:05:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2014-05-14T11:20:00Z,N,Baseflow,1,1,1,6.84,NA
S01,2011-05-16T11:00:00Z,N,Stormwater,1,1,1,11.02,NA
S01,2018-05-19T18:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-05-21T13:55:00Z,N,Stormwater,NA,NA,NA,10.06,107.1
S01,2018-05-21T13:58:00Z,N,Stormwater,NA,NA,NA,9.84,104
S01,2013-05-29T09:50:00Z,N,Baseflow,1,1,1,5.68,NA
S01,2017-05-05T17:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2015-05-06T12:15:00Z,N,Baseflow,1,1,1,8.08,NA
S01,2017-05-07T13:47:00Z,N,Stormwater,1,1,NA,9.6,95.6
S01,2017-05-07T13:50:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-05-07T13:52:00Z,N,Stormwater,1,1,NA,9.56,95.4
S01,2015-06-01T14:25:00Z,N,Stormwater,1,1,1,8.16,NA
S01,2019-06-10T12:50:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2019-06-10T12:50:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2012-06-12T11:00:00Z,N,Baseflow,1,NA,1,7.05,NA
S01,2014-06-13T13:05:00Z,N,Stormwater,1,1,1,6.84,NA
S01,2013-06-20T10:10:00Z,N,Baseflow,1,1,1,8.8,NA
S01,2011-06-27T12:00:00Z,N,Stormwater,1,1,1,7.31,NA
S01,2016-06-05T20:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-06-07T11:40:00Z,N,Stormwater,1,1,1,7.32,0.785
S01,2016-06-07T11:45:00Z,N,Stormwater,1,1,1,7.34,0.786
S01,2011-07-13T12:35:00Z,N,Baseflow,1,1,1,5.93,NA
S01,2012-07-13T12:15:00Z,N,Baseflow,1,NA,1,4.39,NA
S01,2015-07-14T12:40:00Z,N,Baseflow,1,1,1,4.45,NA
S01,2016-07-14T22:30:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2016-07-14T22:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-07-15T16:26:00Z,N,Stormwater,1,1,NA,6.04,0.745
S01,2016-07-15T16:31:00Z,N,Stormwater,1,1,NA,6.05,0.746
S01,2017-07-17T16:40:00Z,N,Baseflow,NA,NA,NA,4.34,50.3
S01,2017-07-17T16:45:00Z,N,Baseflow,NA,NA,NA,4.17,48.3
S01,2017-07-17T16:50:00Z,N,Baseflow,NA,NA,NA,3.9,45.3
S01,2018-07-17T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-07-18T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-07-18T14:28:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-07-18T14:29:00Z,N,Stormwater,NA,NA,NA,7.2,83.7
S01,2018-07-18T14:31:00Z,N,Stormwater,NA,NA,NA,7.23,84
S01,2018-07-18T14:33:00Z,N,Stormwater,NA,NA,NA,7.2,83.8
S01,2017-07-19T14:24:00Z,N,Stormwater,NA,NA,NA,5.81,69.6
S01,2017-07-19T14:27:00Z,N,Stormwater,NA,NA,NA,6.05,72.4
S01,2017-07-19T14:28:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2014-07-22T12:07:00Z,N,Baseflow,1,1,1,6.75,NA
S01,2012-07-26T15:30:00Z,N,Stormwater,1,NA,1,NA,NA
S01,2016-07-06T10:00:00Z,N,Baseflow,1,1,1,3.97,0.458
S01,2016-07-06T09:45:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2016-07-06T09:47:00Z,N,Baseflow,1,1,1,4.93,0.571
S01,2018-07-09T14:40:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-07-09T14:47:00Z,N,Baseflow,NA,NA,NA,2.68,31
S01,2018-07-09T14:49:00Z,N,Baseflow,NA,NA,NA,2.8,32.2
S01,2018-07-09T14:51:00Z,N,Baseflow,NA,NA,NA,2.61,30.3
S01,2013-08-01T15:20:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2011-08-10T17:35:00Z,N,Stormwater,1,1,1,6.43,NA
S01,2015-08-12T12:15:00Z,N,Stormwater,1,1,1,NA,NA
S01,2010-08-19T13:10:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2013-08-02T10:50:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2011-08-25T12:05:00Z,N,Baseflow,1,1,1,5.99,NA
S01,2010-09-01T10:35:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2016-09-11T11:51:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-09-12T13:30:00Z,N,Stormwater,1,1,1,6.03,0.663
S01,2016-09-12T13:35:00Z,N,Stormwater,1,1,1,4.46,0.487
S01,2011-09-13T17:10:00Z,N,Baseflow,1,1,1,5.89,NA
S01,2011-09-13T17:20:00Z,N,Stormwater,1,1,1,4.17,NA
S01,2013-09-13T13:03:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2012-09-14T10:10:00Z,N,Baseflow,1,NA,1,5.21,NA
S01,2018-09-17T14:08:00Z,N,Baseflow,NA,NA,NA,7.4,84.3
S01,2018-09-17T14:09:00Z,N,Baseflow,NA,NA,NA,7.27,83.5
S01,2018-09-17T14:10:00Z,N,Baseflow,NA,NA,NA,7.21,81.7
S01,2018-09-17T14:11:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2015-09-18T11:25:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-09-18T09:51:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-09-19T14:24:00Z,N,Stormwater,NA,NA,NA,7.64,82
S01,2018-09-19T14:25:00Z,N,Stormwater,NA,NA,NA,7.47,78.3
S01,2018-09-19T14:26:00Z,N,Stormwater,NA,NA,NA,7.41,79
S01,2018-09-19T14:29:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-09-02T12:00:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2016-09-02T12:10:00Z,N,Baseflow,1,1,1,3.95,0.446
S01,2016-09-02T12:16:00Z,N,Baseflow,1,1,1,4.06,0.452
S01,2016-09-02T12:19:00Z,N,Baseflow,1,1,1,3.35,0.377
S01,2017-09-24T10:19:00Z,N,Baseflow,NA,NA,NA,5.11,53.5
S01,2017-09-24T10:23:00Z,N,Baseflow,NA,NA,NA,5.12,53.6
S01,2017-09-24T10:25:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2017-09-24T10:26:00Z,N,Baseflow,NA,NA,NA,5.31,55.6
S01,2013-09-26T11:15:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2014-09-26T14:30:00Z,N,Baseflow,1,1,0,6.74,NA
S01,2010-09-28T09:10:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2010-09-28T09:16:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2012-09-07T17:05:00Z,N,Stormwater,1,NA,1,3.55,NA
S01,2017-09-07T04:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-09-08T10:36:00Z,N,Stormwater,NA,NA,NA,8.21,84.3
S01,2017-09-08T10:39:00Z,N,Stormwater,NA,NA,NA,8.17,84
